Series_ID	Date	value
A3606044K	2008-09-01	0.004
A3606044K	2008-12-01	-0.005
A3606044K	2009-03-01	-0.006
A3606044K	2009-06-01	0.001
A3606044K	2009-09-01	0.009
A3606044K	2009-12-01	0.012
A3606044K	2010-03-01	0.009
A3606044K	2010-06-01	0.007
A3606044K	2010-09-01	0.004
A3606044K	2010-12-01	0.004
A3606044K	2011-03-01	0.008
A3606044K	2011-06-01	0.012
A3606044K	2011-09-01	0.014
A3606044K	2011-12-01	0.013
A3606044K	2012-03-01	0.01
A3606044K	2012-06-01	0.009
A3606044K	2012-09-01	0.007
A3606044K	2012-12-01	0.005
A3606044K	2013-03-01	0.004
A3606044K	2013-06-01	0.005
A3606044K	2013-09-01	0.007
A3606044K	2013-12-01	0.009
A3606044K	2014-03-01	0.008
A3606044K	2014-06-01	0.006
A3606044K	2014-09-01	0.005
A3606044K	2014-12-01	0.006
A3606044K	2015-03-01	0.007
A3606044K	2015-06-01	0.007
A3606044K	2015-09-01	0.006
A3606044K	2015-12-01	0.006
A3606044K	2016-03-01	0.005
A3606044K	2016-06-01	0.004
A3606044K	2016-09-01	0.005
A3606044K	2016-12-01	0.007
A3606044K	2017-03-01	0.009
A3606044K	2017-06-01	0.008
A3606044K	2017-09-01	0.006
A3606044K	2017-12-01	0.006
A3606044K	2018-03-01	0.007
A3606044K	2018-06-01	0.005
A3606044K	2018-09-01	0.002
A3606044K	2018-12-01	0.001
A3606044K	2019-03-01	0.002
A3606044K	2019-06-01	0.004
A2304312V	1959-09-01	
A2304312V	1959-12-01	0.02
A2304312V	1960-03-01	0.021
A2304312V	1960-06-01	0.017
A2304312V	1960-09-01	0.006
A2304312V	1960-12-01	-0.006
A2304312V	1961-03-01	-0.014
A2304312V	1961-06-01	-0.013
A2304312V	1961-09-01	-0.004
A2304312V	1961-12-01	0.013
A2304312V	1962-03-01	0.024
A2304312V	1962-06-01	0.021
A2304312V	1962-09-01	0.018
A2304312V	1962-12-01	0.012
A2304312V	1963-03-01	0.011
A2304312V	1963-06-01	0.016
A2304312V	1963-09-01	0.019
A2304312V	1963-12-01	0.021
A2304312V	1964-03-01	0.015
A2304312V	1964-06-01	0.011
A2304312V	1964-09-01	0.017
A2304312V	1964-12-01	0.02
A2304312V	1965-03-01	0.016
A2304312V	1965-06-01	0.009
A2304312V	1965-09-01	0
A2304312V	1965-12-01	-0.004
A2304312V	1966-03-01	0.002
A2304312V	1966-06-01	0.011
A2304312V	1966-09-01	0.021
A2304312V	1966-12-01	0.024
A2304312V	1967-03-01	0.02
A2304312V	1967-06-01	0.016
A2304312V	1967-09-01	0.008
A2304312V	1967-12-01	0.004
A2304312V	1968-03-01	0.009
A2304312V	1968-06-01	0.02
A2304312V	1968-09-01	0.027
A2304312V	1968-12-01	0.021
A2304312V	1969-03-01	0.011
A2304312V	1969-06-01	0.012
A2304312V	1969-09-01	0.018
A2304312V	1969-12-01	0.026
A2304312V	1970-03-01	0.022
A2304312V	1970-06-01	0.014
A2304312V	1970-09-01	0.006
A2304312V	1970-12-01	0.002
A2304312V	1971-03-01	0.008
A2304312V	1971-06-01	0.016
A2304312V	1971-09-01	0.012
A2304312V	1971-12-01	0.004
A2304312V	1972-03-01	-0.001
A2304312V	1972-06-01	-0.001
A2304312V	1972-09-01	0.008
A2304312V	1972-12-01	0.012
A2304312V	1973-03-01	0.012
A2304312V	1973-06-01	0.014
A2304312V	1973-09-01	0.015
A2304312V	1973-12-01	0.01
A2304312V	1974-03-01	0.001
A2304312V	1974-06-01	-0.007
A2304312V	1974-09-01	-0.006
A2304312V	1974-12-01	0.006
A2304312V	1975-03-01	0.014
A2304312V	1975-06-01	0.006
A2304312V	1975-09-01	0.002
A2304312V	1975-12-01	0.004
A2304312V	1976-03-01	0.012
A2304312V	1976-06-01	0.018
A2304312V	1976-09-01	0.009
A2304312V	1976-12-01	0.002
A2304312V	1977-03-01	0.004
A2304312V	1977-06-01	0.001
A2304312V	1977-09-01	-0.001
A2304312V	1977-12-01	-0.001
A2304312V	1978-03-01	0.003
A2304312V	1978-06-01	0.009
A2304312V	1978-09-01	0.015
A2304312V	1978-12-01	0.015
A2304312V	1979-03-01	0.008
A2304312V	1979-06-01	0.003
A2304312V	1979-09-01	0.005
A2304312V	1979-12-01	0.009
A2304312V	1980-03-01	0.008
A2304312V	1980-06-01	0.004
A2304312V	1980-09-01	0.005
A2304312V	1980-12-01	0.009
A2304312V	1981-03-01	0.013
A2304312V	1981-06-01	0.014
A2304312V	1981-09-01	0.009
A2304312V	1981-12-01	0.002
A2304312V	1982-03-01	-0.004
A2304312V	1982-06-01	-0.005
A2304312V	1982-09-01	-0.009
A2304312V	1982-12-01	-0.017
A2304312V	1983-03-01	-0.014
A2304312V	1983-06-01	0.002
A2304312V	1983-09-01	0.018
A2304312V	1983-12-01	0.025
A2304312V	1984-03-01	0.022
A2304312V	1984-06-01	0.014
A2304312V	1984-09-01	0.008
A2304312V	1984-12-01	0.009
A2304312V	1985-03-01	0.016
A2304312V	1985-06-01	0.017
A2304312V	1985-09-01	0.012
A2304312V	1985-12-01	0.003
A2304312V	1986-03-01	-0.002
A2304312V	1986-06-01	-0.001
A2304312V	1986-09-01	0.004
A2304312V	1986-12-01	0.009
A2304312V	1987-03-01	0.014
A2304312V	1987-06-01	0.017
A2304312V	1987-09-01	0.019
A2304312V	1987-12-01	0.015
A2304312V	1988-03-01	0.007
A2304312V	1988-06-01	0.003
A2304312V	1988-09-01	0.005
A2304312V	1988-12-01	0.012
A2304312V	1989-03-01	0.017
A2304312V	1989-06-01	0.014
A2304312V	1989-09-01	0.008
A2304312V	1989-12-01	0.003
A2304312V	1990-03-01	-0.001
A2304312V	1990-06-01	-0.001
A2304312V	1990-09-01	-0.003
A2304312V	1990-12-01	-0.007
A2304312V	1991-03-01	-0.008
A2304312V	1991-06-01	-0.006
A2304312V	1991-09-01	-0.001
A2304312V	1991-12-01	0.003
A2304312V	1992-03-01	0.004
A2304312V	1992-06-01	0.009
